Doanh thu thuan ve ban hang va cung cap dich vu,,89666,74429,116381,65536,
Gia von hang ban,,82598,66143,85300,58204,
Loi nhuan gop ve ban hang va cung cap dich vu,,7068,8286,31080,7332,
Doanh thu hoat dong tai chinh,,85,5,43,28,
Chi phi tai chinh,,4396,11300,12070,5430,
Chi phi ban hang,,,,,,
Chi phi quan ly doanh nghiep,,4362,3678,4054,1987,
Loi nhuan thuan tu hoat dong kinh doanh,,(1605),(6687),14999,(58),
Loi nhuan khac,,1740,1825,(1132),(50),
Phan loi nhuan/lo tu cong ty lien ket lien doanh,,,,,,
Tong loi nhuan ke toan truoc thue,,135,